"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_swing_miss","out_zone_swing","out_zone_percent","out_zone","pitch_count_offspeed","pitch_count_fastball","pitch_count_breaking","pitch_count","iz_contact_percent","in_zone_swing_miss","in_zone_swing","in_zone_percent","in_zone","edge_percent","edge","whiff_percent","swing_percent"
"Vaughn, Andrew","683734","2024","26","468","510","113","70","28","0","15","113","32",22.2,6.3,".241",".397",".294","0.691",".249",".461",".300",".328",".303",".212",70.9,12.3,16.3,13,36.5,29,"7.6","11","90.6","17.8",36.4,10,43.3,"101.001869167","94.749310361",66.7,12.3,31.2,43.7,56.3,"135","309",51.1,"989","223","977","547","1937",87.7,"78","632",48.9,"948",43.4,"841",22.6,48.6
"Cronenworth, Jake","630105","2024","30","486","549","119","77","24","3","15","98","45",17.9,8.2,".245",".399",".321","0.720",".269",".444",".316",".343",".344",".175",69.2,5.8,12.4,10.4,32.3,27.1,"7.1","10","89.1","14.4",35.2,8.7,38,"99.92580601","94.121026788",67,10.7,23.9,35.4,63.5,"92","260",48.2,"1088","217","1468","467","2256",89,"84","782",51.8,"1168",44.2,"997",16.9,46.2
"Kim, Ha-Seong","673490","2024","28","403","470","94","64","16","3","11","77","58",16.4,12.3,".233",".370",".330","0.700",".249",".360",".308",".316",".348",".111",69,7.3,13.3,11.2,36.2,30.5,"6.8","7","87.9","15.1",36.6,4.8,35.4,"98.621780994","93.412597329",55.2,13.3,18.6,24.9,74.6,"43","173",47,"932","173","1203","482","1982",86.4,"77","580",53,"1050",44.9,"889",15.9,38
"Alonso, Pete","624413","2024","29","505","573","123","66","29","0","28","134","57",23.4,9.9,".244",".467",".328","0.795",".251",".472",".341",".345",".335",".221",75.1,52,17.9,13.9,29.7,23,"7.3","15","89.6","14.5",31.8,12,44.9,"102.506843209","95.497027668",60.6,13.4,26.3,47.1,52.9,"146","310",51.5,"1180","214","1320","619","2290",86.6,"90","673",48.5,"1111",44,"1008",24,42.9
"Frelick, Sal","686217","2024","24","397","443","105","83","16","4","2","68","38",15.3,8.6,".264",".340",".335","0.675",".249",".308",".302",".285",".321",".059",66.4,2.3,5.3,4.7,35.6,31.3,"6.9","9","83.2","9.5",29.4,0.9,19.4,"94.31954795","91.225250187",55.5,7.9,25,22.9,77.1,"49","214",49.8,"856","220","995","405","1719",91.6,"38","479",50.2,"863",41.5,"713",12.6,40.3
"Paredes, Isaac","670623","2024","25","458","537","104","61","23","1","19","86","62",16,11.5,".227",".406",".335","0.741",".212",".346",".326",".300",".323",".134",68.1,4.3,6.5,5.5,29.1,24.3,"8","12","84.8","23.3",34.4,5.3,25.9,"95.819368457","91.9287132",64.3,11.5,26.7,30.9,69.1,"103","333",52.4,"1249","241","1274","647","2382",88.5,"84","729",47.6,"1133",42.9,"1021",17.6,44.6
"Nimmo, Brandon","607043","2024","31","464","546","106","62","23","3","18","133","69",24.4,12.6,".228",".407",".341","0.748",".245",".422",".330",".342",".355",".177",73,33.4,15.1,11.8,29.8,23.2,"7.3","12","91.7","11.3",35.1,9.6,46.8,"101.455716084","95.25730991",64.9,15.4,23.9,46.2,53.8,"127","275",50.6,"1150","222","1399","559","2274",84.4,"112","729",49.4,"1123",43,"977",23.9,44.2
"Ramírez, José","608070","2024","31","514","566","141","76","31","1","33","69","46",12.2,8.1,".274",".531",".332","0.863",".259",".454",".360",".330",".322",".195",71.5,18.9,15.1,13.2,33.6,29.4,"7.3","15","89.3","19.8",34,8.7,40.7,"99.795709333","94.090051333",68.3,9.3,31.5,27.3,72.4,"103","377",53.2,"1196","489","1085","560","2246",90.7,"67","719",46.8,"1052",43.7,"982",15.5,48.8
"Chisholm Jr., Jazz","665862","2024","26","465","514","120","77","17","4","22","130","44",25.3,8.6,".258",".454",".327","0.781",".242",".435",".334",".320",".312",".193",71.9,23.4,14,9.8,31.2,21.9,"7.5","11","89.5","10.7",29.8,11,39.7,"100.167807256","94.503969847",67.8,22.7,30.3,42.7,56.1,"140","328",52.3,"1082","328","1110","493","2070",75,"152","669",47.7,"987",42,"869",29.3,48.2
"Seager, Corey","608369","2024","30","458","516","127","79","19","0","29","91","53",17.6,10.3,".277",".509",".355","0.864",".294",".573",".364",".395",".371",".279",72.2,20.4,19.2,15.2,33.9,26.8,"6.6","14","92","13.2",38.2,15.4,50.7,"103.23531038","96.132317275",79.5,13.1,27.2,50.2,49.8,"127","253",51.2,"929","357","911","457","1815",86.9,"92","704",48.8,"886",43.6,"792",22.9,52.7
